State,Homicide Offenses,Total Offenses,Population Covered,Year
Oregon,33,13343,1216129,2012
Rhode Island,36,11619,1049246,2012
South Carolina,353,106343,4715754,2012
South Dakota,17,9489,769711,2012
Tennessee,449,162416,6460102,2012
Texas,110,46289,3483727,2012
Utah,52,33039,2305381,2012
Vermont,13,4201,622979,2012
Virginia,331,113151,8185867,2012
Washington,155,56385,4691718,2012
West Virginia,70,20276,1722976,2012
Wisconsin,128,24654,2163784,2012
Alabama,2,770,84139,2013
Arizona,15,4042,419382,2013
Arkansas,166,57603,2809536,2013
Colorado,199,48360,5163671,2013
Connecticut,44,24614,2618964,2013
Delaware,42,19665,925749,2013
District of Columbia,0,817,0,2013
Idaho,29,16862,1611676,2013
Illinois,22,5956,150209,2013
Iowa,49,28710,2958457,2013
Kansas,78,41814,2259330,2013
Kentucky,135,31031,4334254,2013
Louisiana,32,10556,605088,2013
Maine,1,4353,333464,2013
Massachusetts,101,68149,5818101,2013
Michigan,673,152264,9733958,2013
Mississippi,6,4443,143858,2013
Missouri,106,15493,737873,2013
Montana,15,9456,1000016,2013
Nebraska,4,6670,686383,2013
New Hampshire,32,16730,1178087,2013
North Dakota,15,8634,722021,2013
Ohio,366,129850,8525540,2013
Oklahoma,37,15900,1581467,2013
Oregon,31,12633,1449175,2013
Pennsylvania,2,182,148764,2013
Rhode Island,31,10830,1050471,2013
South Carolina,322,101125,4761406,2013
South Dakota,14,8742,782947,2013
Tennessee,375,149124,6497309,2013
Texas,118,41059,3415422,2013
Utah,43,32001,2288974,2013
Vermont,10,3604,626376,2013
Virginia,368,107585,8258337,2013
Washington,159,59274,5096736,2013
West Virginia,56,16373,1670269,2013
Wisconsin,143,24525,2267529,2013
Alabama,1,742,84843,2014
Arizona,12,3998,428215,2014
Arkansas,174,54845,2661818,2014
Colorado,176,50964,5275081,2014
Connecticut,45,23135,2702918,2014
Delaware,57,18891,935614,2014
District of Columbia,0,928,0,2014
Idaho,34,17005,1634011,2014
Illinois,19,5627,149586,2014
Indiana,22,1129,0,2014
Iowa,66,28063,2974604,2014
Kansas,60,38875,2241244,2014
Kentucky,169,34258,4413732,2014
Louisiana,33,11530,649955,2014
Maine,9,4101,333772,2014
Massachusetts,76,65448,5831560,2014
Michigan,589,148237,9743907,2014
Mississippi,6,3681,144940,2014
Missouri,91,16053,759060,2014
Montana,29,10679,992702,2014
Nebraska,9,7169,726082,2014
New Hampshire,12,16724,1238190,2014
North Dakota,19,8611,738176,2014
Ohio,377,125561,8418036,2014
Oklahoma,37,16826,1627493,2014
Oregon,30,12893,1526458,2014
Pennsylvania,1,998,173796,2014
Rhode Island,27,10755,1054130,2014
South Carolina,323,97201,4813088,2014
South Dakota,21,9415,791744,2014
Tennessee,419,149369,6520118,2014
Texas,87,28827,3219473,2014
Utah,74,30622,2320856,2014
Vermont,12,2936,626306,2014
Virginia,366,104793,8325670,2014
Washington,170,61643,5284057,2014
West Virginia,64,15633,1648198,2014
Wisconsin,138,23619,2320567,2014
Alabama,3,830,85163,2015
Arizona,15,3788,441235,2015
Arkansas,174,57034,2755248,2015
Colorado,197,54731,5441669,2015
Connecticut,56,21560,2773016,2015
Delaware,69,19515,945934,2015
Idaho,38,17064,1654475,2015
Illinois,20,6116,148178,2015
Iowa,80,29245,3105094,2015
Kansas,84,39029,2133081,2015
Kentucky,238,44430,4452859,2015
Louisiana,30,13526,746167,2015
Maine,6,3959,333419,2015
Massachusetts,90,63867,5783813,2015
Michigan,634,147792,9838291,2015
Mississippi,12,4036,129513,2015
Missouri,117,17368,768291,2015
Montana,38,11573,1025146,2015
Nebraska,9,7666,777196,2015
New Hampshire,18,16161,1267715,2015
North Dakota,25,8650,756927,2015
Ohio,411,127503,8788652,2015
Oklahoma,57,18848,1666338,2015
Oregon,64,16477,1671416,2015
Pennsylvania,1,1179,212641,2015
Rhode Island,28,10954,1055254,2015
South Carolina,427,98000,4826241,2015
South Dakota,32,10397,797431,2015
Tennessee,455,148714,6601280,2015
Texas,142,44884,3661036,2015
Utah,58,31839,2341627,2015
Vermont,10,3071,626042,2015
Virginia,414,104564,8380278,2015
Washington,175,64803,6150785,2015
West Virginia,60,16177,1494503,2015
Wisconsin,203,24659,2451661,2015
Alabama,3,864,85601,2016
Arizona,15,3545,453183,2016
Arkansas,232,61649,2853645,2016
Colorado,235,57498,5519770,2016
Connecticut,52,23997,2900457,2016
Delaware,61,18814,952065,2016
Idaho,54,17691,1683140,2016
Illinois,27,6333,147363,2016
Indiana,30,1268,46950,2016
Iowa,84,30661,3113470,2016
Kansas,77,38430,2130286,2016
Kentucky,291,45620,4436974,2016
Louisiana,44,13867,775491,2016
Maine,6,4307,374727,2016
Massachusetts,86,63829,5849105,2016
Michigan,649,159568,9847710,2016
Minnesota,0,117,74676,2016
Mississippi,13,4912,170438,2016
Missouri,141,18741,806802,2016
Montana,36,12245,1042048,2016
Nebraska,6,8334,840799,2016
New Hampshire,21,16095,1275170,2016
North Dakota,19,9622,757493,2016
Ohio,542,132054,8951687,2016
Oklahoma,66,20818,1835677,2016
Oregon,111,33220,3573011,2016
Pennsylvania,8,1074,230336,2016
Rhode Island,31,10589,1055380,2016
South Carolina,409,97246,4936962,2016
South Dakota,29,11255,802805,2016
Tennessee,544,152035,6652105,2016
Texas,176,48032,4100255,2016
Utah,75,31906,2357563,2016
Vermont,17,3367,625702,2016
Virginia,534,106679,8411424,2016
Washington,195,74365,6732631,2016
West Virginia,85,18117,1622119,2016
Wisconsin,211,27402,2875748,2016
Alabama,2,758,85634,2017
Arizona,27,4037,441754,2017
Arkansas,268,59155,2836240,2017
Colorado,248,60694,5575629,2017
Connecticut,54,25004,2964038,2017
Delaware,64,18053,961939,2017
Idaho,36,17187,1699259,2017
Illinois,19,6030,146770,2017
Indiana,24,3524,392088,2017
Iowa,113,29987,3104739,2017
Kansas,104,39451,2157747,2017
Kentucky,296,46636,4454189,2017
Louisiana,65,13719,911835,2017
Maine,7,4367,381656,2017
Maryland,13,4671,1034920,2017
Massachusetts,110,62308,5909196,2017
Michigan,636,152383,9953546,2017
Minnesota,8,1057,285742,2017
Mississippi,17,5243,195630,2017
Missouri,163,20296,890041,2017
Montana,34,12922,1050005,2017
Nebraska,10,8051,854722,2017
New Hampshire,17,16492,1296830,2017
North Dakota,15,9807,754604,2017
Ohio,638,148302,9332963,2017
Oklahoma,60,22331,1874821,2017
Oregon,115,37065,3911879,2017
Pennsylvania,2,1174,203372,2017
Rhode Island,20,10909,1058595,2017
South Carolina,421,96845,4997385,2017
South Dakota,26,11254,814529,2017
Tennessee,575,155692,6716522,2017
Texas,259,68673,5446658,2017
Utah,72,30345,2336125,2017
Vermont,15,3639,623657,2017
Virginia,492,106172,8467744,2017
Washington,219,82286,6845624,2017
West Virginia,99,16704,1593494,2017
Wisconsin,179,33512,3110853,2017
Alabama,2,435,85521,2018
Arizona,28,4328,450167,2018
Arkansas,241,60838,2883871,2018
Colorado,248,61902,5641173,2018
Connecticut,64,27264,3150064,2018
Delaware,50,17788,967171,2018
Georgia,0,54,146168,2018
Hawaii,31,10197,982019,2018
Idaho,36,17710,1748506,2018
Illinois,23,5804,146198,2018
Indiana,48,8582,512169,2018
Iowa,45,19452,3082020,2018
Kansas,102,39891,2093483,2018
Kentucky,265,44947,4449972,2018
Louisiana,55,15487,833234,2018
Maine,5,4906,431978,2018
Maryland,20,5384,1042452,2018
Massachusetts,79,61176,5925066,2018
Michigan,620,158330,9968252,2018
Minnesota,10,4125,701758,2018
Mississippi,16,7532,406681,2018
Missouri,183,24306,1184415,2018
Montana,35,12383,1061101,2018
Nebraska,14,9765,957049,2018
New Hampshire,24,16953,1317257,2018
New Mexico,92,17373,662438,2018
North Dakota,28,10278,759744,2018
Ohio,524,148283,9369617,2018
Oklahoma,63,23367,2018690,2018
Oregon,112,40044,4056382,2018
Pennsylvania,1,869,202192,2018
Rhode Island,17,10618,1056281,2018
South Carolina,417,96830,5015959,2018
South Dakota,21,11584,838746,2018
Tennessee,546,150040,6770010,2018
Texas,613,164133,12116435,2018
Utah,61,30822,2403754,2018
Vermont,11,3969,626299,2018
Virginia,436,104374,8511045,2018
Washington,238,85736,7509327,2018
West Virginia,65,13479,1582691,2018
Wisconsin,184,34897,3514251,2018
